"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","","","","","","","","","","","6.28","","6.28","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-78c17acd74321e48630a71a2891de9ec6b067e9a","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-6-20cf7096ba456bee9499352bb998a9add7f54366"
"Army Active","","8","63","","63","","","","","","1.956","3.69","","3.69","","","","","ba75b97722a73bfbd3f40997f055fd61baf80d99-0-851b10a34439dcb323bf986edf5b50dad9b25911","ba75b97722a73bfbd3f40997f055fd61baf80d99","root.record.ItemExhibitList.P5Item","ba75b97722a73bfbd3f40997f055fd61baf80d99-0-c894358ceb89f5f402cb8be49c00fceb47b986e9"
"Army National Guard","","3","53","","53","","","","","","0.819","3.102","","3.102","","","","","ba75b97722a73bfbd3f40997f055fd61baf80d99-1-f77731e189e2a4a3dc62b73fdc6f2e9f7b443254","ba75b97722a73bfbd3f40997f055fd61baf80d99","root.record.ItemExhibitList.P5Item","ba75b97722a73bfbd3f40997f055fd61baf80d99-0-c894358ceb89f5f402cb8be49c00fceb47b986e9"
"Army Reserve","","7","26","","26","","","","","","1.71","1.492","","1.492","","","","","ba75b97722a73bfbd3f40997f055fd61baf80d99-2-7336f442172f7848d427ea0745b330a8f7a6b313","ba75b97722a73bfbd3f40997f055fd61baf80d99","root.record.ItemExhibitList.P5Item","ba75b97722a73bfbd3f40997f055fd61baf80d99-0-c894358ceb89f5f402cb8be49c00fceb47b986e9"
"Army Active","","","","","","","","","","0.1","","","","","","","","","ba75b97722a73bfbd3f40997f055fd61baf80d99-0-89b265ae23c18a31a6aa505f3397a7aa02a73987","ba75b97722a73bfbd3f40997f055fd61baf80d99","root.record.ItemExhibitList.P5Item","ba75b97722a73bfbd3f40997f055fd61baf80d99-1-d3552c2ce5868ed0e159c2d7a856234580400fad"
"Army Active","","","","","","","","","","13.245","","19.92","","19.92","","","","","bb635ac0330e096e3aaf22efd536e0dd44e58b47-0-922acbbfac376a6471deeb430f4d90bf25cb5a7b","bb635ac0330e096e3aaf22efd536e0dd44e58b47","root.record.ItemExhibitList.P5Item","bb635ac0330e096e3aaf22efd536e0dd44e58b47-0-dad75eb9939d7717b9b8e18758875db2554fa31f"
"Army Active","","","","","","","","","","27.026","82.616","34.267","","34.267","","","","","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-0-16c2cbeaa011b755189a6ea7079b487c48994d75","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734","root.record.ItemExhibitList.P5Item","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-0-d0b811b0014fd6b36027124c744c09294a51f260"
"Army National Guard","","","","","","","","","","","36.598","53.412","","53.412","","","","","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-1-41790dfd18fa4a38b76ed1e6622a1c3f8b095847","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734","root.record.ItemExhibitList.P5Item","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-0-d0b811b0014fd6b36027124c744c09294a51f260"
"Army Reserve","","","","","","","","","","17.226","30.349","39.423","","39.423","","","","","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-2-56d8757273acb62c91919b9e1175b7b2543f8a80","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734","root.record.ItemExhibitList.P5Item","bcef8d2a84378a9ea2d6e1eba73a0a1973ad8734-0-d0b811b0014fd6b36027124c744c09294a51f260"
"Army Active","55","184","114","","114","","","","","11.929","27.652","16.622","","16.622","","","","","be65cf5cd8386e305a03174c4da182ca48433668-0-37d669beac9362cb02793661957cd920e23beb97","be65cf5cd8386e305a03174c4da182ca48433668","root.record.ItemExhibitList.P5Item","be65cf5cd8386e305a03174c4da182ca48433668-0-4ccad8e0e05d65dbac6e774ba7e4f1842148df05"
"Army National Guard","","","198","","198","","","","","","","25.836","","25.836","","","","","be65cf5cd8386e305a03174c4da182ca48433668-1-3589f49d3ae34e2ac65406540311a3c5bd1520f4","be65cf5cd8386e305a03174c4da182ca48433668","root.record.ItemExhibitList.P5Item","be65cf5cd8386e305a03174c4da182ca48433668-0-4ccad8e0e05d65dbac6e774ba7e4f1842148df05"
"Army Active","","","","","","","","","","43.425","40.644","18.221","","18.221","","","","","be65cf5cd8386e305a03174c4da182ca48433668-0-c4ed7648b0e3381c9fa1bad0a15c2156efc236a2","be65cf5cd8386e305a03174c4da182ca48433668","root.record.ItemExhibitList.P5Item","be65cf5cd8386e305a03174c4da182ca48433668-1-f6a1e906b2389c2ebd9aed08b45ea33c931e2d21"
"Army Active","","","","","","","","","","31.054","53.986","82.958","","82.958","","","","","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-0-4a51c66e0a0a5138b5a89ad1699adc5d3518c94c","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673","root.record.ItemExhibitList.P5Item","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-0-ee40a430ee471c13bdce9934f5d1cf0a228833b9"
"Army National Guard","","","","","","","","","","17.538","27.726","33.201","","33.201","","","","","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-1-0f59c84fe24aeb7019942a8b6a300f999e2e8e6f","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673","root.record.ItemExhibitList.P5Item","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-0-ee40a430ee471c13bdce9934f5d1cf0a228833b9"
"Army Reserve","","","","","","","","","","22.644","35.812","43.103","","43.103","","","","","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-2-0db0c958ce3633d843193b4b8041c36b7e876328","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673","root.record.ItemExhibitList.P5Item","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-0-ee40a430ee471c13bdce9934f5d1cf0a228833b9"
"Army Active","","","","","","","","","","0.7","1.076","3.392","","3.392","","","","","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-0-e87ca335d5022e76434bedc3750d51aea96d3616","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673","root.record.ItemExhibitList.P5Item","c081d0ed17f47a8e88ce6ad75b51e2ea7bd60673-1-b90225c4c05e9fa12a9efb0d41844eb81e0a93ac"
"Army Active","27","55","28","","28","","","","","181.434","401.617","187.177","","187.177","","","","","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140-0-5c0a4aff0278cf64d68434616904b65983fba50e","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140","root.record.ItemExhibitList.P5Item","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140-0-07a4251ec67c2da681b8ba89b6f5e931dcb952c9"
"Army National Guard","10","","","","","","","","","75","","","","","","","","","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140-1-6b933cddb9494702bb8ac6415e401b005efbc55d","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140","root.record.ItemExhibitList.P5Item","c0d55b67af9a20f0b3deb17ddc5ad8ac906db140-0-07a4251ec67c2da681b8ba89b6f5e931dcb952c9"
"Army Active","","","","","","","","","","1.748","1.522","1.544","","1.544","","","","","c3e719bf2d2750ed2b50ef10c9683f1dd777cf29-0-e4056b95fb6a174c622ade4c92636a79ea91a603","c3e719bf2d2750ed2b50ef10c9683f1dd777cf29","root.record.ItemExhibitList.P5Item","c3e719bf2d2750ed2b50ef10c9683f1dd777cf29-0-078771d68d1b3a7291fa2dde7f4534f6d801d8a5"
"Army Active","","","","","","","","","","","13.999","44.998","5.724","50.722","","","","","c4be4d11dfe9ae0fae461bfa668914f4270793b1-0-1c4d4c1702ddfce17fa7e86511bd812268e34781","c4be4d11dfe9ae0fae461bfa668914f4270793b1","root.record.ItemExhibitList.P5Item","c4be4d11dfe9ae0fae461bfa668914f4270793b1-0-d7c818f513c49461d275f3b45bf4baa7817caace"
"Army Active","38","11","18","","18","","","","","11.962","5.299","8.996","","8.996","","","","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-b076f0728ffc262e8dbac1fbaa9f05d34229cc41","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root.record.ItemExhibitList.P5Item","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-44561a8ce9b48c7587907ae744a423e336b93f0e"
"Army National Guard","56","19","32","","32","","","","","19.938","8.839","14.844","","14.844","","","","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-1-149337d77dc23913d77c6429f7e73a898ccd1fc1","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root.record.ItemExhibitList.P5Item","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-44561a8ce9b48c7587907ae744a423e336b93f0e"
"Army Active","805","1806","3502","","3502","","","","","10.571","19.037","37.587","","37.587","","","","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-0-99051cfc4e02d31cb1d6bfcac0b2f0d53637c344","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root.record.ItemExhibitList.P5Item","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-1-bb6267d711b312ee1e7a689f8c0446200ca5a6c1"
"Army National Guard","417","334","1865","","1865","","","","","1.713","2.213","7.254","","7.254","","","","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-1-a867730fe87ae9538b32501da650b8efa5562266","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root.record.ItemExhibitList.P5Item","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-1-bb6267d711b312ee1e7a689f8c0446200ca5a6c1"
"Army Reserve","357","479","554","","554","","","","","8.049","11.569","5.147","","5.147","","","","","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-2-3194867d205236bb8661a936250ea74fffa790e4","c793fd261245ca3d8131d8db1d7300b7b3d7fd53","root.record.ItemExhibitList.P5Item","c793fd261245ca3d8131d8db1d7300b7b3d7fd53-1-bb6267d711b312ee1e7a689f8c0446200ca5a6c1"
"Army Active","53","8","27","","27","","","","","186.031","99.1","107.532","","107.532","","","","","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4-0-3d459dab1bf3012c417b75025c67d6b6e902bc47","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4","root.record.ItemExhibitList.P5Item","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4-0-5b030f4811398fc84bfe90190f58fede1efc6f08"
"Army National Guard","","7","4","","4","","","","","","23.351","16.097","","16.097","","","","","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4-1-6c6dabfba9fe93d39342c95d1757c9c64d897eaf","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4","root.record.ItemExhibitList.P5Item","cb5d1fb0edefe12e743a8ccf4ae07abc78644ce4-0-5b030f4811398fc84bfe90190f58fede1efc6f08"
"Army Active","","5","2","","2","","","","","9.854","25.394","3.268","","3.268","","","","","cc6a75b3f3d84ad7e6f0d45ed392ec4a64114f5c-0-30a1fd09f7f7006a736340c11372c7659055dcf3","cc6a75b3f3d84ad7e6f0d45ed392ec4a64114f5c","root.record.ItemExhibitList.P5Item","cc6a75b3f3d84ad7e6f0d45ed392ec4a64114f5c-0-00455b179b16e275bc37500e46b56bf7fb1721ac"
"Army Active","8","18","30","","30","","","","","199.477","247.4","273.85","","273.85","","","","","cfba36d0bdc1f7524ff279efac9e86931045c18c-0-536eaad3fef2e0f5a2da06448b3724ddd87585d7","cfba36d0bdc1f7524ff279efac9e86931045c18c","root.record.ItemExhibitList.P5Item","cfba36d0bdc1f7524ff279efac9e86931045c18c-0-f3f33f63d1aceddffc28ae0b16df3727297e556e"
"Air Force Active","","","","","","","","","","7.271","2.177","2.205","0","2.205","2.695","2.742","2.79","2.84","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-385cdd34540c0cab20bb98ad614710d4975cfc00","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root.record.ItemExhibitList.P5Item","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-5028a9942dbdbd7d5100a5babcc5bb125338c70a"
"Army Active","","","","","","","","","","","","9.199","","9.199","","","","","d4bbf5f8f13607b441a8f28341975a4baa6c19cc-0-e51dbab4072e1b8440f4fc3e7cc981432e527f50","d4bbf5f8f13607b441a8f28341975a4baa6c19cc","root.record.ItemExhibitList.P5Item","d4bbf5f8f13607b441a8f28341975a4baa6c19cc-0-17be25878035ba82d5cf03b6950e85fc8a7bc0e9"
"Army Active","","","","","","","","","","8.612","20.937","22.854","","22.854","","","","","d5a01dedeec0cb4fd3499ca241eeb276fcb08d7b-0-4c4ef0cfd4bfabc3e1a318a4b996f6ae3625cc2e","d5a01dedeec0cb4fd3499ca241eeb276fcb08d7b","root.record.ItemExhibitList.P5Item","d5a01dedeec0cb4fd3499ca241eeb276fcb08d7b-0-a8a8c82f3f23cc5b4689bb883923446e24342f2c"
"Army Active","","","","","","","","","","8.388","17.289","25.438","","25.438","","","","","d5a01dedeec0cb4fd3499ca241eeb276fcb08d7b-0-2cbcf16eb75c31f334d4049c3784fa29b110d338","d5a01dedeec0cb4fd3499ca241eeb276fcb08d7b","root.record.ItemExhibitList.P5Item","d5a01dedeec0cb4fd3499ca241eeb276fcb08d7b-1-9aba1251b08e9305c01f6ee5d26e141b104117e8"
"Army Active","","","","","","","","","","35.177","24.86","26.088","","26.088","","","","","d7020d92b2962bea7dce03ed689428a3328f384a-0-ea1419b54448342f00d803fc361884b35660fdd4","d7020d92b2962bea7dce03ed689428a3328f384a","root.record.ItemExhibitList.P5Item","d7020d92b2962bea7dce03ed689428a3328f384a-0-6ae23e6970e6a26237d8fd465492088fe4a36211"
"Army National Guard","","","","","","","","","","","1.136","","","","","","","","d7020d92b2962bea7dce03ed689428a3328f384a-1-aa6754c5e32dbeecef21c76f91f8c49bdaaaa1c0","d7020d92b2962bea7dce03ed689428a3328f384a","root.record.ItemExhibitList.P5Item","d7020d92b2962bea7dce03ed689428a3328f384a-0-6ae23e6970e6a26237d8fd465492088fe4a36211"
"Army Active","","","","","","","","","","8.107","4.382","2.19","0.7","2.89","","","","","d7020d92b2962bea7dce03ed689428a3328f384a-0-7ec6ef61b67be31f5690c873aae67229433be7e1","d7020d92b2962bea7dce03ed689428a3328f384a","root.record.ItemExhibitList.P5Item","d7020d92b2962bea7dce03ed689428a3328f384a-1-3cc714b25ef80c43c3c35f931b61a80a9e20862a"
"Army National Guard","","","","","","","","","","0.992","0.264","","","","","","","","d7020d92b2962bea7dce03ed689428a3328f384a-1-abcddbbbdd9bb22184c07b7360e60ecae4d4bb20","d7020d92b2962bea7dce03ed689428a3328f384a","root.record.ItemExhibitList.P5Item","d7020d92b2962bea7dce03ed689428a3328f384a-1-3cc714b25ef80c43c3c35f931b61a80a9e20862a"
"Army Reserve","","","","","","","","","","0.401","0.132","","","","","","","","d7020d92b2962bea7dce03ed689428a3328f384a-2-cd7861ab1566a22ee84ec7f634c8fb1645c5efe2","d7020d92b2962bea7dce03ed689428a3328f384a","root.record.ItemExhibitList.P5Item","d7020d92b2962bea7dce03ed689428a3328f384a-1-3cc714b25ef80c43c3c35f931b61a80a9e20862a"
"Army Active","","","","","","","","","","66.36","16.018","35.26","","35.26","","","","","d81fdfaa8ee60dcc1aeec417354f623e81f4f44f-0-a51ba437b25ed3917b14e38e443ee77ec875f863","d81fdfaa8ee60dcc1aeec417354f623e81f4f44f","root.record.ItemExhibitList.P5Item","d81fdfaa8ee60dcc1aeec417354f623e81f4f44f-0-10ec8050e4041ed8abb1915fb1e409bb005674b4"
"Army National Guard","","","","","","","","","","32.175","8.81","28.212","","28.212","","","","","d81fdfaa8ee60dcc1aeec417354f623e81f4f44f-1-509b3233398e03c77dea8eab468cc81d80a8aebd","d81fdfaa8ee60dcc1aeec417354f623e81f4f44f","root.record.ItemExhibitList.P5Item","d81fdfaa8ee60dcc1aeec417354f623e81f4f44f-0-10ec8050e4041ed8abb1915fb1e409bb005674b4"
"Army Active","","","","","","","","","","0.285","3.115","4.057","","4.057","","","","","d878357ab9100227cec028213617bd60c337ddf1-0-8e5154df5c69bf9860cbd7a6e9461593e848f492","d878357ab9100227cec028213617bd60c337ddf1","root.record.ItemExhibitList.P5Item","d878357ab9100227cec028213617bd60c337ddf1-0-45d7e244a843e8920d12d49ecd728d5ad8c8b8ea"
"Army National Guard","","","","","","","","","","2.742","","","","","","","","","d878357ab9100227cec028213617bd60c337ddf1-1-2d85089d9234a892f8c16ea721eba8150bbd89fe","d878357ab9100227cec028213617bd60c337ddf1","root.record.ItemExhibitList.P5Item","d878357ab9100227cec028213617bd60c337ddf1-0-45d7e244a843e8920d12d49ecd728d5ad8c8b8ea"
"Air Force Active","2","5","6","0","6","","","","","3.388","5.732","7.062","0","7.062","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-426c3e02931f4fa3eb6efd138c9712f779976500","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P5Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-42d10f1624c8c65d33d62f9b937dac2e5337537c"
"Air Force Active","3","","1","","1","","","","","2.927","0.28","1.62","0","1.62","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-483772245bb2f1d0cb4d698f6c4710c4ef7fd469","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P5Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-edf4a17cc440561c23853b029ae54e9cb2a14d16"
"Army Active","","","","","","","","","","39","5.362","8.55","","8.55","","","","","d9a82699b9a3ed4e16441ffb2d99211bbce0d05c-0-547d869caf876ce29467dc47b69ab9353aecf21b","d9a82699b9a3ed4e16441ffb2d99211bbce0d05c","root.record.ItemExhibitList.P5Item","d9a82699b9a3ed4e16441ffb2d99211bbce0d05c-0-60ac87d4151bc3943de08edeaa3b066dd6e1162c"
"Army Active","7","22","17","","17","","","","","2","5.827","4.84","","4.84","","","","","da2955000a5c1b803848f5357348341f6d563225-0-96d49c87b67eaeeb7cee297261c016242ff3c902","da2955000a5c1b803848f5357348341f6d563225","root.record.ItemExhibitList.P5Item","da2955000a5c1b803848f5357348341f6d563225-0-cb317a287df2ea2e85918579717049a822349dc4"
"Army National Guard","","","4","","4","","","","","","","1.063","","1.063","","","","","da2955000a5c1b803848f5357348341f6d563225-1-5dbd82fe599eee5d873cdbc5a20a1b10bde95a23","da2955000a5c1b803848f5357348341f6d563225","root.record.ItemExhibitList.P5Item","da2955000a5c1b803848f5357348341f6d563225-0-cb317a287df2ea2e85918579717049a822349dc4"
"Army Active","","","14","","14","","","","","","0.937","1.487","","1.487","","","","","da3df8c56346c48391da7ebdb144505bbbe93729-0-cd7c208fe02f0d9f005ddf1ce208142a20e6a04a","da3df8c56346c48391da7ebdb144505bbbe93729","root.record.ItemExhibitList.P5Item","da3df8c56346c48391da7ebdb144505bbbe93729-0-3823a409475b76767c439412737827451675f4e0"
"Army Active","","","","","","","","","","1.927","3.901","3.978","","3.978","","","","","db6599fa39ada9268f8e5fa5db9db1da7e46b484-0-99a83de387f5de1298ae6e25e05f5a8b06cb9377","db6599fa39ada9268f8e5fa5db9db1da7e46b484","root.record.ItemExhibitList.P5Item","db6599fa39ada9268f8e5fa5db9db1da7e46b484-0-a7852605d230d9157dcc4e4ce412b378323079fa"
"Army Active","32","34","120","","120","","","","","4.756","11.013","52.546","","52.546","","","","","dc8b1c0a0eda4c2c9ff6b4a6fde0f32a2847dcd3-0-0ba10007899768988218569656b318a6387ffa99","dc8b1c0a0eda4c2c9ff6b4a6fde0f32a2847dcd3","root.record.ItemExhibitList.P5Item","dc8b1c0a0eda4c2c9ff6b4a6fde0f32a2847dcd3-0-15082692beb31473810ff0efb502c565949f0520"
"Army Active","","29","44","","44","","","","","1.891","1.469","1.859","","1.859","","","","","dccbd2abb5b32fbe58e493792bbbba7edb427c25-0-f32537379f7e3467ce4f6e3bbbc9259adbceaa84","dccbd2abb5b32fbe58e493792bbbba7edb427c25","root.record.ItemExhibitList.P5Item","dccbd2abb5b32fbe58e493792bbbba7edb427c25-0-6b345e154562fb8c0b53dda366712a14c41f5f7c"
"Army National Guard","","29","44","","44","","","","","0.637","1.469","1.8","","1.8","","","","","dccbd2abb5b32fbe58e493792bbbba7edb427c25-1-216e6a98dbd65dfb9de5ce5777a4774fd34f27c5","dccbd2abb5b32fbe58e493792bbbba7edb427c25","root.record.ItemExhibitList.P5Item","dccbd2abb5b32fbe58e493792bbbba7edb427c25-0-6b345e154562fb8c0b53dda366712a14c41f5f7c"
"Army Reserve","","","44","","44","","","","","0.197","","1.8","","1.8","","","","","dccbd2abb5b32fbe58e493792bbbba7edb427c25-2-55f4a83e8eb430142111af54661e190cc5388f6b","dccbd2abb5b32fbe58e493792bbbba7edb427c25","root.record.ItemExhibitList.P5Item","dccbd2abb5b32fbe58e493792bbbba7edb427c25-0-6b345e154562fb8c0b53dda366712a14c41f5f7c"
"Army Active","","","","","","","","","","51.654","51.5","","53.8","53.8","","","","","de4255ea0725e180d618209ee9c5b53f99e27bd0-0-7dffacfdfc5f8b6dc7ed0080800f47a1b2aa2dfc","de4255ea0725e180d618209ee9c5b53f99e27bd0","root.record.ItemExhibitList.P5Item","de4255ea0725e180d618209ee9c5b53f99e27bd0-0-4c112bc2f42f1db7786e6291f8337e1fd70e10e8"
"Army Active","","103","200","","200","","","","","","24.838","48.032","","48.032","","","","","de43dc53af1646808c7fd2ccc31d33ddf2a77a47-0-7262ad3aaa14b53c47e24c424a02d2de4ee778bc","de43dc53af1646808c7fd2ccc31d33ddf2a77a47","root.record.ItemExhibitList.P5Item","de43dc53af1646808c7fd2ccc31d33ddf2a77a47-0-7341eabb3becb50b8599978e7e9434d24465ccbb"
"Army National Guard","","26","","","","","","","","","6.405","","","","","","","","de43dc53af1646808c7fd2ccc31d33ddf2a77a47-1-def2d59a82eaeaeb2e10c2d96efc9756ebc52a15","de43dc53af1646808c7fd2ccc31d33ddf2a77a47","root.record.ItemExhibitList.P5Item","de43dc53af1646808c7fd2ccc31d33ddf2a77a47-0-7341eabb3becb50b8599978e7e9434d24465ccbb"
"Army Reserve","","26","142","","142","","","","","","6.406","10.65","","10.65","","","","","de43dc53af1646808c7fd2ccc31d33ddf2a77a47-2-215c175c089669b65f8e758c435a7d9c30cacac1","de43dc53af1646808c7fd2ccc31d33ddf2a77a47","root.record.ItemExhibitList.P5Item","de43dc53af1646808c7fd2ccc31d33ddf2a77a47-0-7341eabb3becb50b8599978e7e9434d24465ccbb"
"Army Active","3","","14","","14","","","","","0.893","","1.629","","1.629","","","","","df293f119cae1166e609f77ff6cc5af6cfc6cb97-0-3bcaaff1f08c135e457b652fe0f4dd25b22f5018","df293f119cae1166e609f77ff6cc5af6cfc6cb97","root.record.ItemExhibitList.P5Item","df293f119cae1166e609f77ff6cc5af6cfc6cb97-0-c3612b34bdb7fc19d115d3219fc543c38d6f8a94"
"Army National Guard","13","34","7","","7","","","","","3.872","4.405","1.729","","1.729","","","","","df293f119cae1166e609f77ff6cc5af6cfc6cb97-1-557f821581c1ee2472325e9aba813dfde89958fe","df293f119cae1166e609f77ff6cc5af6cfc6cb97","root.record.ItemExhibitList.P5Item","df293f119cae1166e609f77ff6cc5af6cfc6cb97-0-c3612b34bdb7fc19d115d3219fc543c38d6f8a94"
"Army Reserve","7","19","7","","7","","","","","2.085","2.344","1.729","","1.729","","","","","df293f119cae1166e609f77ff6cc5af6cfc6cb97-2-ecbe04011dcb71da693f35817923fcf42114644b","df293f119cae1166e609f77ff6cc5af6cfc6cb97","root.record.ItemExhibitList.P5Item","df293f119cae1166e609f77ff6cc5af6cfc6cb97-0-c3612b34bdb7fc19d115d3219fc543c38d6f8a94"
"Army Active","53","12","15","","15","","","","","11.237","3.414","3.375","","3.375","","","","","e018f3009ba51ec56253b6884265382eae780c23-0-9fa4e953f028ee274297253cf13311c188eaec6d","e018f3009ba51ec56253b6884265382eae780c23","root.record.ItemExhibitList.P5Item","e018f3009ba51ec56253b6884265382eae780c23-0-dd021079263a173cb7237eb178027105487ddec4"
"Army National Guard","40","25","27","","27","","","","","8.48","6.216","6.217","","6.217","","","","","e018f3009ba51ec56253b6884265382eae780c23-1-890fc1caa6748b5c5b41f123f13fa01aca202a20","e018f3009ba51ec56253b6884265382eae780c23","root.record.ItemExhibitList.P5Item","e018f3009ba51ec56253b6884265382eae780c23-0-dd021079263a173cb7237eb178027105487ddec4"
