"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army National Guard","","8","79","","79","98","118","141","127","","1.333","3.111","","3.111","3.887","4.71","5.678","5.185","","","","","","","","","af15b0ebfc268a88902f64b19a50665a808109f3-1-67b73d89dd8e16e0efe6df4b21d664769ab1f880","af15b0ebfc268a88902f64b19a50665a808109f3","root","af15b0ebfc268a88902f64b19a50665a808109f3-395f0589f388ae6613f58a86e2f67ec9a7a1c9be"
"Army Reserve","","9","61","","61","85","83","91","105","","1.334","2.376","","2.376","3.36","3.315","3.66","4.27","","","","","","","","","af15b0ebfc268a88902f64b19a50665a808109f3-2-08c027ca995530d4674bdf04be9d413f20493694","af15b0ebfc268a88902f64b19a50665a808109f3","root","af15b0ebfc268a88902f64b19a50665a808109f3-395f0589f388ae6613f58a86e2f67ec9a7a1c9be"
"Army Active","","","","","","","","","","113.065","108.282","","","","","","","","","","","","","","","","b04ddc8065bee207591d328def67982d8ab7eabf-0-3ef7c3ec62506c3c076e5f408fdc001f2a7e5296","b04ddc8065bee207591d328def67982d8ab7eabf","root","b04ddc8065bee207591d328def67982d8ab7eabf-18043e2673cbe869072afd9e1cefd4ded6004be3"
"Army Active","5","3","2","","2","1","4","","5","2.676","9.899","5.286","","5.286","3.939","8.491","","5.48","","","","","","","","","b11679b3c03e5f73a7b00121fd7dc78937fc0282-0-bee1499586d3ba72ff4541f00754df5a7978aca4","b11679b3c03e5f73a7b00121fd7dc78937fc0282","root","b11679b3c03e5f73a7b00121fd7dc78937fc0282-a6639ab1194082af79043ed9a91d6c678685dfe0"
"Army Active","70","38","48","","48","54","51","69","63","1126.767","661.627","833.279","","833.279","976.74","1091.948","1024.516","1105.738","","","","","","","","","b1fad3450e4a924ae71482c6d0701d91a64bfa53-0-cba7b045a9d541ce27c08bd46eb4b938d38e2456","b1fad3450e4a924ae71482c6d0701d91a64bfa53","root","b1fad3450e4a924ae71482c6d0701d91a64bfa53-ce13ec3c63354967caad393ecbdb575c375f9def"
"Army National Guard","30","32","25","","25","17","19","35","23","450.69","573.35","424.68","","424.68","319.584","415.826","517.004","380.176","","","","","","","","","b1fad3450e4a924ae71482c6d0701d91a64bfa53-1-f4e04dde1d3d869ec46ab98e1b692aa2bb3fa946","b1fad3450e4a924ae71482c6d0701d91a64bfa53","root","b1fad3450e4a924ae71482c6d0701d91a64bfa53-ce13ec3c63354967caad393ecbdb575c375f9def"
"Army Reserve","","","6","","6","","","","","","","111.18","","111.18","","","","","","","","","","","","","b1fad3450e4a924ae71482c6d0701d91a64bfa53-2-1728e4957ad553fbc9963a16d91418a00a8b8295","b1fad3450e4a924ae71482c6d0701d91a64bfa53","root","b1fad3450e4a924ae71482c6d0701d91a64bfa53-ce13ec3c63354967caad393ecbdb575c375f9def"
"Army Active","1386","","","","","","","","","4.372","","","","","","","","","","","","","","","","","b27aafa1d16daff818a17ef3684553a67c2cb9ed-0-a1346d6d5bfd0933e7fb59322fd36d2124c3502b","b27aafa1d16daff818a17ef3684553a67c2cb9ed","root","b27aafa1d16daff818a17ef3684553a67c2cb9ed-1aac37b6ddb4e5e3a6b97d617c5f0bfa3dfe4a58"
"Army National Guard","717","","","","","","","","","2.217","","","","","","","","","","","","","","","","","b27aafa1d16daff818a17ef3684553a67c2cb9ed-1-1a7cd8b7ef41be048803964456dcc0d0f6d8c25c","b27aafa1d16daff818a17ef3684553a67c2cb9ed","root","b27aafa1d16daff818a17ef3684553a67c2cb9ed-1aac37b6ddb4e5e3a6b97d617c5f0bfa3dfe4a58"
"Army Active","193","130","554","","554","247","240","379","589","4.503","4.101","14.151","","14.151","6.627","4.6","6.856","8.888","","","","","","","","","b38945b74907e593faea37757918981f9a23af1c-0-bb5ad551805c383ca9202eb8c69494d533112c27","b38945b74907e593faea37757918981f9a23af1c","root","b38945b74907e593faea37757918981f9a23af1c-45b12f5d27910cfd44f66a6ce907433cd9e197d0"
"Army National Guard","142","153","305","","305","116","98","166","269","3.388","1.758","5.939","","5.939","2.908","1.709","2.856","4.64","","","","","","","","","b38945b74907e593faea37757918981f9a23af1c-1-f00a5c9ef92a2bf1e591824eab0f33e76883d8f5","b38945b74907e593faea37757918981f9a23af1c","root","b38945b74907e593faea37757918981f9a23af1c-45b12f5d27910cfd44f66a6ce907433cd9e197d0"
"Army Reserve","233","","","","","","","","","6.183","","","","","","","","","","","","","","","","","b38945b74907e593faea37757918981f9a23af1c-2-b349509144619aed02e01640063cc253c7fcef5f","b38945b74907e593faea37757918981f9a23af1c","root","b38945b74907e593faea37757918981f9a23af1c-45b12f5d27910cfd44f66a6ce907433cd9e197d0"
"Army Active","527","33","","","","","884","870","","126.424","9.659","","","","","248.944","249.122","","","","","","","","","","b4f5f59d9b0d818ef991ca05b1a05264c09e2015-0-a5e6ec738bf5eb55c7b5a7b7b71d7a2abe13b54c","b4f5f59d9b0d818ef991ca05b1a05264c09e2015","root","b4f5f59d9b0d818ef991ca05b1a05264c09e2015-d258e68678bcb46878bd4e6bdd69f8683e92ae20"
"Army National Guard","752","641","","","","","","","","139.176","150.052","","","","","","","","","","","","","","","","b4f5f59d9b0d818ef991ca05b1a05264c09e2015-1-f7d974653d9066b62d0f71c73803f3aa819e92f2","b4f5f59d9b0d818ef991ca05b1a05264c09e2015","root","b4f5f59d9b0d818ef991ca05b1a05264c09e2015-d258e68678bcb46878bd4e6bdd69f8683e92ae20"
"Army Reserve","879","220","","","","","","","","78.213","64.199","","","","","","","","","","","","","","","","b4f5f59d9b0d818ef991ca05b1a05264c09e2015-2-8761e9bce68ccfd19dd0cbe7723c87856b59bc8d","b4f5f59d9b0d818ef991ca05b1a05264c09e2015","root","b4f5f59d9b0d818ef991ca05b1a05264c09e2015-d258e68678bcb46878bd4e6bdd69f8683e92ae20"
"Army Active","","647","","","","","","","","","5.11","","","","","","","","","","","","","","","","b5f75f36b57b160dc022ce9e1e5a793cf57eb214-0-9f884f0957700c2cfa4d3bf5b128e92f3a0399a6","b5f75f36b57b160dc022ce9e1e5a793cf57eb214","root","b5f75f36b57b160dc022ce9e1e5a793cf57eb214-a56c0d9a6e9078aba25257b490b8e58fb7623337"
"Army National Guard","","","","","","","","","","9.559","","","","","","","","","","","","","","","","","b615d7441115d4607bb068b6171f0fa401064b77-0-a1d130cec29d703a4dea36e5baed3ba8f27f0e8c","b615d7441115d4607bb068b6171f0fa401064b77","root","b615d7441115d4607bb068b6171f0fa401064b77-ba90858407d23a25bd10e0f3790ac60b80b28f46"
"Army Active","","","","","","","","","","125.2","103.021","107.364","","107.364","131.641","53.736","38.678","33.654","","","","","","","","","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-0-6c77864d42b2496c08fef69a14d9b73af30fb70b","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c","root","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-7b22be45db84cf0bf399205c41818c0a242142e9"
"Army Active","5","4","2","","2","10","7","7","2","37.065","59.016","54.277","","54.277","41.873","42.041","42.814","41.956","","","","","","","","","b6a0d3237720baad9c923830282651aae689cd4d-0-1d9f02a2a8a7b13b3ff4bd65e9554f5003d0e7ca","b6a0d3237720baad9c923830282651aae689cd4d","root","b6a0d3237720baad9c923830282651aae689cd4d-2428f7c540a92b25c835cba710258d37aad3177a"
"Army National Guard","","4","","","","","","","","","4.614","","","","19.581","19.248","22.32","24.426","","","","","","","","","b6a0d3237720baad9c923830282651aae689cd4d-1-382d92b0463d3e650cef66f564de9bc578c58f60","b6a0d3237720baad9c923830282651aae689cd4d","root","b6a0d3237720baad9c923830282651aae689cd4d-2428f7c540a92b25c835cba710258d37aad3177a"
"Army Reserve","","2","","","","","1","1","2","","1.983","","","","2.447","5.775","6.219","10.538","","","","","","","","","b6a0d3237720baad9c923830282651aae689cd4d-2-86e566c518120243cddd8b80f97d9550f8e00c3c","b6a0d3237720baad9c923830282651aae689cd4d","root","b6a0d3237720baad9c923830282651aae689cd4d-2428f7c540a92b25c835cba710258d37aad3177a"
"Army Active","35","91","33","","33","31","86","83","87","5.35","19.398","3.739","","3.739","4.222","12.483","13.754","12.092","","","","","","","","","b704b92e2074614835b1fad031ccfa7a8e7b3ed7-0-0e280d34d0c127e92c0fdacc42b9e43852d8d22b","b704b92e2074614835b1fad031ccfa7a8e7b3ed7","root","b704b92e2074614835b1fad031ccfa7a8e7b3ed7-4fced99edb2c7ee9e14b4aa7e2db6b7100c17409"
"Army National Guard","62","38","98","","98","88","43","46","55","6.781","6.49","10.78","","10.78","10.681","3.744","4.299","6.238","","","","","","","","","b704b92e2074614835b1fad031ccfa7a8e7b3ed7-1-15740f028bbfe4a585e9b3bbba8861c212cc14c9","b704b92e2074614835b1fad031ccfa7a8e7b3ed7","root","b704b92e2074614835b1fad031ccfa7a8e7b3ed7-4fced99edb2c7ee9e14b4aa7e2db6b7100c17409"
"Army Reserve","60","52","10","","10","25","19","28","","8.15","9.175","0.66","","0.66","1.65","1.254","1.914","","","","","","","","","","b704b92e2074614835b1fad031ccfa7a8e7b3ed7-2-7f48bb2f2a39877b94b54f592bdf7bf24eb058bc","b704b92e2074614835b1fad031ccfa7a8e7b3ed7","root","b704b92e2074614835b1fad031ccfa7a8e7b3ed7-4fced99edb2c7ee9e14b4aa7e2db6b7100c17409"
"Army Active","","","","","","","","","","26.215","90.408","91.781","","91.781","51.699","","","","","","","","","","","","b725b0435294df54d5a44a9122033c987a40fa28-0-adf883e3093f7114345f7c1f6b2428d5d29c4eec","b725b0435294df54d5a44a9122033c987a40fa28","root","b725b0435294df54d5a44a9122033c987a40fa28-13023587d74cb2bd35b4714ebdc7374472725da3"
"Army National Guard","","","","","","","","","","","31.494","33.599","","33.599","","","","","","","","","","","","","b725b0435294df54d5a44a9122033c987a40fa28-1-5ed1d943419a608d0842771bb480266e31aa9d04","b725b0435294df54d5a44a9122033c987a40fa28","root","b725b0435294df54d5a44a9122033c987a40fa28-13023587d74cb2bd35b4714ebdc7374472725da3"
"Army Active","29","","69","","69","134","170","460","313","45.565","0.62","21.157","","21.157","64.088","86.421","103.423","129.153","","","","","","","","","b7da3812da0f8c5c1e10bcdee16d6d600dc624c3-0-d8d9468f2182dc4843dd5b69416443d68d7af87f","b7da3812da0f8c5c1e10bcdee16d6d600dc624c3","root","b7da3812da0f8c5c1e10bcdee16d6d600dc624c3-81e8d6b2b301fa7f88282cdccbab2e0e58dbc1fb"
"Army Active","","","","","","","","","","","","7","","7","6","2.12","2.457","2.507","","","","","","","","","b8d25184fc5a7565ce80e10db20f515d7046ea2e-0-4ac53d4a8c5c0fb06ff485dda06b525e86cd2ec0","b8d25184fc5a7565ce80e10db20f515d7046ea2e","root","b8d25184fc5a7565ce80e10db20f515d7046ea2e-242e702161ce1494400b05ea162c0bc4fce59975"
"Navy Active","","","","","","","","","","19.96","0.969","1.412","","1.412","1.243","1.205","1.223","1.232","","","","","","","","","b99583c00fb4a49bee7959d9e2adec83560c1e36-0-9c97d5fcae32bf7b351fd7d3e13537b9a2efce8f","b99583c00fb4a49bee7959d9e2adec83560c1e36","root","b99583c00fb4a49bee7959d9e2adec83560c1e36-0702d0f2ca2d748f035da6bfc704cf2d02521be7"
"Navy Reserve","","","","","","","","","","","0.167","0.177","","0.177","0.181","0.187","0.189","0.192","","","","","","","","","b99583c00fb4a49bee7959d9e2adec83560c1e36-1-e1beab442355ac1acb98823a55bc00549b6f2b42","b99583c00fb4a49bee7959d9e2adec83560c1e36","root","b99583c00fb4a49bee7959d9e2adec83560c1e36-0702d0f2ca2d748f035da6bfc704cf2d02521be7"
"Navy Active","172","219","","","","","","","","28.658","65.509","0.057","","0.057","0.945","0.96","1.072","1.094","","","","","","","","","ba854dac10c647b39fa32efa9481846af6f73571-0-bcadeddd2007d4e8c83adf86b2d3a406648c49d2","ba854dac10c647b39fa32efa9481846af6f73571","root","ba854dac10c647b39fa32efa9481846af6f73571-6cbd91e5441bcd3a0146fb12fbacc4b3a07168ab"
"Navy Reserve","","","","","","","","","","","","0.286","","0.286","0.153","0.167","0.178","0.183","","","","","","","","","ba854dac10c647b39fa32efa9481846af6f73571-1-3da000eab17bd1d17a77c4289ecb8a205a80dbe4","ba854dac10c647b39fa32efa9481846af6f73571","root","ba854dac10c647b39fa32efa9481846af6f73571-6cbd91e5441bcd3a0146fb12fbacc4b3a07168ab"
"Army Active","","","","","","","","","","60.801","20.522","39.683","","39.683","66.159","170.823","503.552","603.906","","","","","","","","","bb013aa87c6e217bf1570039586b8113cd06a098-0-d92ac9162568bffff829cbf02a27927ba1941197","bb013aa87c6e217bf1570039586b8113cd06a098","root","bb013aa87c6e217bf1570039586b8113cd06a098-c7c0ec23e08a55ec5502ccb3fc6800ed1b3d05bf"
"Air Force Active","","","","","","","","","","17.067","15.576","29.959","","29.959","0.000","0.000","0.000","0.000","","","","","","","","","bbb6601e5eddbad39953d2ef7b2a9b8c7a7e6a7c-0-9327571f141e4fc6c0acfa4ac093065338ad4f44","bbb6601e5eddbad39953d2ef7b2a9b8c7a7e6a7c","root","bbb6601e5eddbad39953d2ef7b2a9b8c7a7e6a7c-1d2606279cce5ac3b0fb01d84be219d771b4ac60"
"Air National Guard","","","","","","","","","","1.496","15.889","10.216","","10.216","0.000","0.000","0.000","0.000","","","","","","","","","bbb6601e5eddbad39953d2ef7b2a9b8c7a7e6a7c-1-72fb788e3dfcb02e6fe1e70473e165bad84058a0","bbb6601e5eddbad39953d2ef7b2a9b8c7a7e6a7c","root","bbb6601e5eddbad39953d2ef7b2a9b8c7a7e6a7c-1d2606279cce5ac3b0fb01d84be219d771b4ac60"
"Air Force Reserve","","","","","","","","","","0.603","0.654","2.025","","2.025","0.000","0.000","0.000","0.000","","","","","","","","","bbb6601e5eddbad39953d2ef7b2a9b8c7a7e6a7c-2-a7b35b7af2ef584f61302fd5d66b527fa8ff4efb","bbb6601e5eddbad39953d2ef7b2a9b8c7a7e6a7c","root","bbb6601e5eddbad39953d2ef7b2a9b8c7a7e6a7c-1d2606279cce5ac3b0fb01d84be219d771b4ac60"
"Army Active","","","","","","","","","","1.638","0.824","0.87","","0.87","0.888","0.9","0.915","0.932","","","","","","","","","bdefed5581bc6bc6a059d2f0ea1821e648197cb9-0-c461d79ed0a0e4f11a3a09534352c3b27e346b9a","bdefed5581bc6bc6a059d2f0ea1821e648197cb9","root","bdefed5581bc6bc6a059d2f0ea1821e648197cb9-931011cbca68ed28ef99763ce702406a9f7cb5af"
"Army Active","6","1","1","","1","1","1","1","1","32.324","4.956","6.057","","6.057","6.17","5.649","8.245","11.108","","","","","","","","","be4de7dd68474897e4d23a7d7aa0caedb169557c-0-b1871af1afd7890618cd25d46556715316db38df","be4de7dd68474897e4d23a7d7aa0caedb169557c","root","be4de7dd68474897e4d23a7d7aa0caedb169557c-28b566bb38f6fb70b4955e6ddd72c178b0857a61"
"Army National Guard","6","2","3","","3","3","3","3","2","20.735","8.134","15.988","","15.988","13.344","27.078","24.735","22.217","","","","","","","","","be4de7dd68474897e4d23a7d7aa0caedb169557c-1-cfc37b3debcf9d2907695d47534465ad666b6620","be4de7dd68474897e4d23a7d7aa0caedb169557c","root","be4de7dd68474897e4d23a7d7aa0caedb169557c-28b566bb38f6fb70b4955e6ddd72c178b0857a61"
"Army Reserve","","","1","","1","2","","","","","","5.329","","5.329","8.896","","","","","","","","","","","","be4de7dd68474897e4d23a7d7aa0caedb169557c-2-906ef66c53d1118ca1f179d73999718ed94dec9d","be4de7dd68474897e4d23a7d7aa0caedb169557c","root","be4de7dd68474897e4d23a7d7aa0caedb169557c-28b566bb38f6fb70b4955e6ddd72c178b0857a61"
"Army Active","","6","6","","6","","4","1","1","46.081","79.692","114.412","","114.412","66.006","86.734","113.56","100.706","","","","","","","","","bf607bf452477bdc088d3e8045d9a59ae8c84e64-0-d21430b01389d40c3a8eb9602913f9edb71684cc","bf607bf452477bdc088d3e8045d9a59ae8c84e64","root","bf607bf452477bdc088d3e8045d9a59ae8c84e64-a36194c0e1e1aeaa0e1ebdd3b1151f3792d008ee"
"Army National Guard","","","3","","3","7","","","","","","9.615","","9.615","22.435","","","","","","","","","","","","bf607bf452477bdc088d3e8045d9a59ae8c84e64-1-f9f6226eddcc960e0e59c8ea8d847a4ab519bb70","bf607bf452477bdc088d3e8045d9a59ae8c84e64","root","bf607bf452477bdc088d3e8045d9a59ae8c84e64-a36194c0e1e1aeaa0e1ebdd3b1151f3792d008ee"
"Army Reserve","","","1","","1","","","","","","","3.205","","3.205","","","","","","","","","","","","","bf607bf452477bdc088d3e8045d9a59ae8c84e64-2-7bfbcbf6e745400e2eac9ac2e5e1b6961e0076a6","bf607bf452477bdc088d3e8045d9a59ae8c84e64","root","bf607bf452477bdc088d3e8045d9a59ae8c84e64-a36194c0e1e1aeaa0e1ebdd3b1151f3792d008ee"
"Navy Active","","","","","","","","","","125.53","64.032","48.812","","48.812","69.707","48.351","40.513","13.983","","","","","","","","","bf99af9bf2793946e4e174529a47f9fbf44396ab-0-cbcd49b0a7195d5c792ca5280373c9081b80062a","bf99af9bf2793946e4e174529a47f9fbf44396ab","root","bf99af9bf2793946e4e174529a47f9fbf44396ab-1891799da55e91ae729b87750414d54173248352"
"Navy Reserve","","","","","","","","","","","0.186","15.682","","15.682","12.688","0.56","","","","","","","","","","","bf99af9bf2793946e4e174529a47f9fbf44396ab-1-17c10406f0d84f377b248398b7511d520f157528","bf99af9bf2793946e4e174529a47f9fbf44396ab","root","bf99af9bf2793946e4e174529a47f9fbf44396ab-1891799da55e91ae729b87750414d54173248352"
"Air Force Active","","","","","","","","","","76.131","17.019","23.865","","23.865","35.619","51.285","43.875","113.871","","","","","","","","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-89a22057df4926ee8620f0c8a4f37b6a05b6f820","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-c6e77c6675292cc1be74e14c5dc80d6fc48ad9b6"
"Air National Guard","","","","","","","","","","","","0.000","","0.000","","","","","","","","","","","","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-1-081d98e8b74442c332a095e485e2475b6ce2c803","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-c6e77c6675292cc1be74e14c5dc80d6fc48ad9b6"
"Air Force Reserve","","","","","","","","","","0.000","0.000","0.000","","0.000","","","","","","","","","","","","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-2-50069cfaedbe670e04b691503c919044a29b1396","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-c6e77c6675292cc1be74e14c5dc80d6fc48ad9b6"
"Navy Active","","","","","","","","","","28.893","33.69","18.544","","18.544","15.145","15.051","15.354","15.692","","","","","","","","","bfbc31a3bb6dca830f07f5440959f1702c3ddaff-0-8976b2d33f674c854c6d4d845e41be37b66af168","bfbc31a3bb6dca830f07f5440959f1702c3ddaff","root","bfbc31a3bb6dca830f07f5440959f1702c3ddaff-5f181fc18559308d54591ee81b469a366b3786cc"
"Navy Reserve","","","","","","","","","","4.819","4.756","3.365","","3.365","2.442","2.488","2.538","2.593","","","","","","","","","bfbc31a3bb6dca830f07f5440959f1702c3ddaff-1-c8ae106f3a14be87afc527890229f6f815dd0bf2","bfbc31a3bb6dca830f07f5440959f1702c3ddaff","root","bfbc31a3bb6dca830f07f5440959f1702c3ddaff-5f181fc18559308d54591ee81b469a366b3786cc"
