"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_AllPriorYears_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army National Guard","19","151.991","","","19","151.991","39","236.764","38","243.994","22","184.171","3","27.836","","","","","","b9e1ae58c1e17a7139d999981f48bb2d9e03a848-1-31a15256cf2e1d4856a99c4f78cbfc1a59bc0096","b9e1ae58c1e17a7139d999981f48bb2d9e03a848","root","b9e1ae58c1e17a7139d999981f48bb2d9e03a848-72c604ad022c08415ff4133334add930e3321405"
"Army Active","79","43.882","","","79","43.882","79","107.047","157","63.221","120","81.444","4","78.447","4","62.867","39.853","2","","ba6915d507f15b134d1e30655b17c68812f17b28-0-8a144945cb776f38b81b2132dcfb0dc48b55a8ad","ba6915d507f15b134d1e30655b17c68812f17b28","root","ba6915d507f15b134d1e30655b17c68812f17b28-1460c7aac35d70f3484a053d492fa7c42e6e0736"
"Army National Guard","77","2.413","","","77","2.413","80","2.79","155","4.525","75","5.588","","6.325","","4.74","2.052","","","ba6915d507f15b134d1e30655b17c68812f17b28-1-2f5608235337bdce249f28660d95015d56fbaf86","ba6915d507f15b134d1e30655b17c68812f17b28","root","ba6915d507f15b134d1e30655b17c68812f17b28-1460c7aac35d70f3484a053d492fa7c42e6e0736"
"Army Reserve","92","12.846","","","92","12.846","81","27.622","155","4.525","100","25.343","2","7.218","2","16.718","21.592","2","","ba6915d507f15b134d1e30655b17c68812f17b28-2-d91f234b0265d17c330927d02cbf84e82bf87429","ba6915d507f15b134d1e30655b17c68812f17b28","root","ba6915d507f15b134d1e30655b17c68812f17b28-1460c7aac35d70f3484a053d492fa7c42e6e0736"
"Army Active","","","","","","","14","28.417","","","","","","","","","","","","bdc82eaa2b9d8bd235de7549448ee9d746e3ae08-0-6285936a91cb7a177a05476592f9943ff2c6ee8f","bdc82eaa2b9d8bd235de7549448ee9d746e3ae08","root","bdc82eaa2b9d8bd235de7549448ee9d746e3ae08-128145b0f00daae30f7e818dd4871a576cfb8197"
"Army Reserve","","","","","","","4","9.054","","","","","","","","","","","","bdc82eaa2b9d8bd235de7549448ee9d746e3ae08-1-b7bd10365bed09d56dbb586ae6f25b0521bc0be1","bdc82eaa2b9d8bd235de7549448ee9d746e3ae08","root","bdc82eaa2b9d8bd235de7549448ee9d746e3ae08-128145b0f00daae30f7e818dd4871a576cfb8197"
"Army Active","2062","20.639","","","2062","20.639","520","17.269","195","18.196","","","","","","","","","","bde87669ed34994908aebfb986375bb89ca54640-0-1f97da061976ff216d0a555e92c27df4b20a59f7","bde87669ed34994908aebfb986375bb89ca54640","root","bde87669ed34994908aebfb986375bb89ca54640-713a1bceb620666df819893595d534760da9c8ee"
"Army National Guard","","","","","","","452","11.58","212","16.624","","","","","","","","","","bde87669ed34994908aebfb986375bb89ca54640-1-6835c9e448622406c9885b0cdd17f2fd5a1ee176","bde87669ed34994908aebfb986375bb89ca54640","root","bde87669ed34994908aebfb986375bb89ca54640-713a1bceb620666df819893595d534760da9c8ee"
"Army Reserve","","","","","","","220","11.709","45","4.49","","","","","","","","","","bde87669ed34994908aebfb986375bb89ca54640-2-f35ce0dd3a6b1aef10a754fe7f3dd0409bd4b0d9","bde87669ed34994908aebfb986375bb89ca54640","root","bde87669ed34994908aebfb986375bb89ca54640-713a1bceb620666df819893595d534760da9c8ee"
"Army Active","","113.193","","","","113.193","","11","","","","147.175","","202.628","","246.388","210.843","","","bf12fc71b000cb009257091dbad085d78d655168-0-606ff91a3fb7a0b8bf25d0bf124ee133ee6cd5f7","bf12fc71b000cb009257091dbad085d78d655168","root","bf12fc71b000cb009257091dbad085d78d655168-8bb5160e14a38d7699d86cd5270ae0e614b1fc0e"
"Army National Guard","","35","","","","35","","191.987","","250.71","","35","","","","","","","","bf12fc71b000cb009257091dbad085d78d655168-1-4a978ef3ea21289fd20b0309d3b57356ab6b681c","bf12fc71b000cb009257091dbad085d78d655168","root","bf12fc71b000cb009257091dbad085d78d655168-8bb5160e14a38d7699d86cd5270ae0e614b1fc0e"
"Army Active","3519","68.336","","","3519","68.336","9241","148.366","9841","122.686","4393","63.343","1989","59.611","3024","116.19","97.865","3320","","bfeeccc23b03d307e7d5d10a285d11673ecbe56d-0-e0e6b29e816348aebf54272ac9dd3e3e95ed52eb","bfeeccc23b03d307e7d5d10a285d11673ecbe56d","root","bfeeccc23b03d307e7d5d10a285d11673ecbe56d-25d68347af22175471f0a7cdad77c0cfc2d5307c"
"Army National Guard","621","11.847","","","621","11.847","6906","99.929","4623","57.623","1158","16.381","1183","32.52","2511","19.402","40","3095","","bfeeccc23b03d307e7d5d10a285d11673ecbe56d-1-ac60665b5c5c147e1e8c514c6a299754f0faff91","bfeeccc23b03d307e7d5d10a285d11673ecbe56d","root","bfeeccc23b03d307e7d5d10a285d11673ecbe56d-25d68347af22175471f0a7cdad77c0cfc2d5307c"
"Army Reserve","104","1.979","","","104","1.979","5218","0.706","526","6.55","","","276","3.789","1483","5.529","5.7","905","","bfeeccc23b03d307e7d5d10a285d11673ecbe56d-2-bd7d7f57890cefae4530e81a6807b4973f1d3b01","bfeeccc23b03d307e7d5d10a285d11673ecbe56d","root","bfeeccc23b03d307e7d5d10a285d11673ecbe56d-25d68347af22175471f0a7cdad77c0cfc2d5307c"
"Army Active","","1.368","","","","1.368","","1.256","","1.332","","1.399","","1.432","","1.465","1.498","","","bfef9b694c4d02cca9069f654cbb7dc361a603c4-0-da6961f7d7ef5b8e9460e65e679c5b28bbc6818e","bfef9b694c4d02cca9069f654cbb7dc361a603c4","root","bfef9b694c4d02cca9069f654cbb7dc361a603c4-2020f220507412ba850e597e6a81af00087b552f"
"Army Active","382","9.553","","","382","9.553","842","27.069","519","4.745","167","5.425","478","5.967","375","2.043","2.134","208","","c126b13e35a1560d5669cffc316cae1c92e03fc3-0-fe35167c480cf48772aa7e4051a0307bf726424e","c126b13e35a1560d5669cffc316cae1c92e03fc3","root","c126b13e35a1560d5669cffc316cae1c92e03fc3-9d8dbd8ebb0ef95cd7c6bf56a39a3ecbb6df2be3"
"Army National Guard","412","3.633","","","412","3.633","167","1.018","159","4.606","236","2.761","184","1.895","88","1.462","1.593","45","","c126b13e35a1560d5669cffc316cae1c92e03fc3-1-de38754c292698a5e48d7475cfb9cbb0bb8b9322","c126b13e35a1560d5669cffc316cae1c92e03fc3","root","c126b13e35a1560d5669cffc316cae1c92e03fc3-9d8dbd8ebb0ef95cd7c6bf56a39a3ecbb6df2be3"
"Army Reserve","24","0.907","","","24","0.907","224","3.156","105","3.131","19","0.993","47","0.913","58","0.86","0.914","28","","c126b13e35a1560d5669cffc316cae1c92e03fc3-2-df611db02338b0e391869713675306663af8a3d0","c126b13e35a1560d5669cffc316cae1c92e03fc3","root","c126b13e35a1560d5669cffc316cae1c92e03fc3-9d8dbd8ebb0ef95cd7c6bf56a39a3ecbb6df2be3"
"Army Active","","1.54","","","","1.54","","1.208","","1.459","","1.528","","1.518","","1.547","1.547","","","c154a3bf03cf049736fd7de18c287146f3811705-0-8c3bab8d958781e38c1772fb90b011726a22bf7c","c154a3bf03cf049736fd7de18c287146f3811705","root","c154a3bf03cf049736fd7de18c287146f3811705-62fc7650a6d2ff80fb4d8161f2cfa600530c9634"
"Army Active","","","","","","","","79.802","","","","","","","","","","","","c1fae2ca703bc1f4d04e737c6aafea11bb8dfb4b-0-398f38c6f11c73d2dd575ac29da2ca4064f0de2a","c1fae2ca703bc1f4d04e737c6aafea11bb8dfb4b","root","c1fae2ca703bc1f4d04e737c6aafea11bb8dfb4b-c4c21fcb928fee1f69c6b02a6e54e73466d86754"
"Army Active","","23.432","","","","23.432","","25.814","","12.541","","13.89","","34.112","","16.114","35.179","","","c337b4bdcceccd0f6cf10974c903023a43846268-0-d2f7c49fb7ccad896f77107b971e1a22648dc909","c337b4bdcceccd0f6cf10974c903023a43846268","root","c337b4bdcceccd0f6cf10974c903023a43846268-08c99ce45bcbcf7b549838f4aae9fb5cd026ba8c"
"Army Active","26","128.574","","","26","128.574","292","1386.014","54","327.723","","99.387","","74.466","","","","","","c3eb0b8ada43d6aafe0bd78e9997dadd6c0d7104-0-9da9dcd6c569e36a38a82c027ac36e1ab02f56fb","c3eb0b8ada43d6aafe0bd78e9997dadd6c0d7104","root","c3eb0b8ada43d6aafe0bd78e9997dadd6c0d7104-e93ddb77b42a57e5b7302e0d569f19226d01ed8f"
"Army National Guard","24","118.683","","","24","118.683","","","18","109.241","","","","","","","","","","c3eb0b8ada43d6aafe0bd78e9997dadd6c0d7104-1-5d5afbabcda15cb247ccdac1a6cb1076618415b0","c3eb0b8ada43d6aafe0bd78e9997dadd6c0d7104","root","c3eb0b8ada43d6aafe0bd78e9997dadd6c0d7104-e93ddb77b42a57e5b7302e0d569f19226d01ed8f"
"Army Reserve","8","39.561","","","8","39.561","","","28","169.93","","","","","","","","","","c3eb0b8ada43d6aafe0bd78e9997dadd6c0d7104-2-0df569b5897a3c84cd0793fa232987aa24fd465d","c3eb0b8ada43d6aafe0bd78e9997dadd6c0d7104","root","c3eb0b8ada43d6aafe0bd78e9997dadd6c0d7104-e93ddb77b42a57e5b7302e0d569f19226d01ed8f"
"Army Active","","9.001","","","","9.001","7793","12.533","","0.5","","10.158","","10.159","","","","","","c4cc0ad5c51b1be2816d49fca572f9aa9dfc9ed0-0-fedfa7ced0fcdf4a8408e4994e46c84273d2d958","c4cc0ad5c51b1be2816d49fca572f9aa9dfc9ed0","root","c4cc0ad5c51b1be2816d49fca572f9aa9dfc9ed0-8cae51a935ea5eb8663c3d3b9ba80091e8c90a9b"
"Army Active","1","4.003","","","1","4.003","","","","","18","18.681","","11.181","","13.897","8.321","","","c6554c47404fc33a0a1c7a5b085af99d5c0b720c-0-eeb9b1cd28cf6daad70e3403290fde8d050d8107","c6554c47404fc33a0a1c7a5b085af99d5c0b720c","root","c6554c47404fc33a0a1c7a5b085af99d5c0b720c-116f0bdbe9535f8198d2d2e6b056159b4f186d88"
"Army National Guard","","","","","","","","","","","7","7.22","4","5.195","4","8.176","1.507","4","","c6554c47404fc33a0a1c7a5b085af99d5c0b720c-1-c30b6d81387b1174f829cd935e0eaeeacac2ff36","c6554c47404fc33a0a1c7a5b085af99d5c0b720c","root","c6554c47404fc33a0a1c7a5b085af99d5c0b720c-116f0bdbe9535f8198d2d2e6b056159b4f186d88"
"Army Reserve","","","","","","","","","","","2","1.964","","2.076","","4.088","3.971","","","c6554c47404fc33a0a1c7a5b085af99d5c0b720c-2-2f595f3d062ca28938421db420dcbf83f4aeef5e","c6554c47404fc33a0a1c7a5b085af99d5c0b720c","root","c6554c47404fc33a0a1c7a5b085af99d5c0b720c-116f0bdbe9535f8198d2d2e6b056159b4f186d88"
"Army Active","","","","","","","","345.783","","","","","","","","","","","","c683377ce89229e2ca29df081ee8875eee0c842b-0-57d13b6211d5b06ff174476837dce08701939431","c683377ce89229e2ca29df081ee8875eee0c842b","root","c683377ce89229e2ca29df081ee8875eee0c842b-12ca011439621960f982510534ee45fbfcfafb07"
"Army Active","5226","103.317","","","5226","103.317","1282","1.685","1917","63.5","6724","134.28","6564","200.855","6364","203.547","225.251","6364","","c8ff5c4f9f8913b9ad12c5447a20ab99addb0ea4-0-3ef90f93ae142dbccd71d44b7089292f3c413372","c8ff5c4f9f8913b9ad12c5447a20ab99addb0ea4","root","c8ff5c4f9f8913b9ad12c5447a20ab99addb0ea4-e5210acf54edda8f5755199b3764cec6b1b8b997"
"Army Active","","12.85","","","","12.85","","","","74.953","56","538.61","72","505.084","80","596.387","566.757","82","","cada57340898e58e41feeb79e22595ba2e98c1d0-0-5de91c19b2264c16285c653850d4d2f9817eba23","cada57340898e58e41feeb79e22595ba2e98c1d0","root","cada57340898e58e41feeb79e22595ba2e98c1d0-0fa3eab937170150badf1e00bb90a7c6bc4c7632"
"Army Active","","","","","","","","14.916","","","","","","","","","","","","cb1ad5b04d6f360a7bfcb011e5a7964ab18841d2-0-0e9cd1aaf58967de7d6bc054e0b9a0f3b08678eb","cb1ad5b04d6f360a7bfcb011e5a7964ab18841d2","root","cb1ad5b04d6f360a7bfcb011e5a7964ab18841d2-0ea56b374dafc5f9d64c90865cfaec7e41fee8ce"
"Army Active","28","2.907","","","28","2.907","61","4.456","13","1.301","20","2.032","25","2.423","18","2.318","0.68","5","","cca5c69decbf142072c2c57446b7f7831f7f073f-0-4abe43cd8f5038cb6d46ad5c9136f23c18ebdf0e","cca5c69decbf142072c2c57446b7f7831f7f073f","root","cca5c69decbf142072c2c57446b7f7831f7f073f-10647176e191a4f077de6e0893c6010f1e057334"
"Army National Guard","11","1.109","","","11","1.109","14","1.024","22","2.234","16","1.512","14","1.31","4","0.526","0.362","3","","cca5c69decbf142072c2c57446b7f7831f7f073f-1-cd37b2b7bfbfeeb551d6ccd633a35ed514b9696a","cca5c69decbf142072c2c57446b7f7831f7f073f","root","cca5c69decbf142072c2c57446b7f7831f7f073f-10647176e191a4f077de6e0893c6010f1e057334"
"Army Reserve","13","1.293","","","13","1.293","13","0.95","9","0.86","10","0.938","7","0.722","7","0.895","0.417","3","","cca5c69decbf142072c2c57446b7f7831f7f073f-2-ada1e30e9fffdacb926d5ce5321649bd0f08090e","cca5c69decbf142072c2c57446b7f7831f7f073f","root","cca5c69decbf142072c2c57446b7f7831f7f073f-10647176e191a4f077de6e0893c6010f1e057334"
"Army Active","","","","","","","","1.585","","","","","","","","","","","","cd8403b34d5d2e0a17c9fc73e0a0bba5f70cfc73-0-faa2b56e02ea71add110f9a206926d3dc7f441f2","cd8403b34d5d2e0a17c9fc73e0a0bba5f70cfc73","root","cd8403b34d5d2e0a17c9fc73e0a0bba5f70cfc73-9026d06ac3599681ffa33d5aefdd5470bf89a57a"
"Army Active","316","5.759","","1.098","316","6.857","175","11.255","98","9.272","119","2.164","","","","","","","","cdaa0f4db259e9d4036652c6d5579f3abd600c8b-0-5672a3ad517a1cd85ad37659b9b2a56cb93caa3c","cdaa0f4db259e9d4036652c6d5579f3abd600c8b","root","cdaa0f4db259e9d4036652c6d5579f3abd600c8b-c955eb240f177bf0fdf65bbc5627645189c7f7da"
"Army National Guard","62","1.135","","1.001","62","2.136","238","10.423","218","5.829","23","0.427","","","","","","","","cdaa0f4db259e9d4036652c6d5579f3abd600c8b-1-2b7399d4acee0d624ff836899a193f46432f9892","cdaa0f4db259e9d4036652c6d5579f3abd600c8b","root","cdaa0f4db259e9d4036652c6d5579f3abd600c8b-c955eb240f177bf0fdf65bbc5627645189c7f7da"
"Army Reserve","67","1.217","","0.301","67","1.518","199","8.363","296","7.353","25","0.457","","","","","","","","cdaa0f4db259e9d4036652c6d5579f3abd600c8b-2-3ece0d11c1792c3c07575ff5fc75be9f2a0fb691","cdaa0f4db259e9d4036652c6d5579f3abd600c8b","root","cdaa0f4db259e9d4036652c6d5579f3abd600c8b-c955eb240f177bf0fdf65bbc5627645189c7f7da"
"Army Active","38","10.022","","","38","10.022","","2.526","35","9.771","36","11.88","52","11.856","53","11.025","9.678","48","","cf07667d63a539da059d2af75693118cc53c2d81-0-c8f5e2fb57c3f926179b84c5b79116065a8e3d20","cf07667d63a539da059d2af75693118cc53c2d81","root","cf07667d63a539da059d2af75693118cc53c2d81-6903e9eadc801eee493ceaec2a4e66eab44fd221"
"Army National Guard","5","2.097","","","5","2.097","","3.776","","","4","2.118","","2.853","","1.967","1.851","","","cf07667d63a539da059d2af75693118cc53c2d81-1-fba0ac14a9e9df4a92c163d3e7c49bc016c4e50a","cf07667d63a539da059d2af75693118cc53c2d81","root","cf07667d63a539da059d2af75693118cc53c2d81-6903e9eadc801eee493ceaec2a4e66eab44fd221"
"Army Reserve","4","1.232","","","4","1.232","","4.699","","","4","2.09","","","","1.967","1.993","","","cf07667d63a539da059d2af75693118cc53c2d81-2-558424d59f26c948a34cc7c2f07eac691f0d9131","cf07667d63a539da059d2af75693118cc53c2d81","root","cf07667d63a539da059d2af75693118cc53c2d81-6903e9eadc801eee493ceaec2a4e66eab44fd221"
"Army Active","27","7.097","","","27","7.097","","","","0.596","20","7.111","","","","","","","","d0e130e11da22cc453ffbc274bfb3ec12223149d-0-1ea6afd7f4074d4dea718c8e2c370bd851eb7277","d0e130e11da22cc453ffbc274bfb3ec12223149d","root","d0e130e11da22cc453ffbc274bfb3ec12223149d-a1f7c2da88763339c22c392c6b64e796148fdbc2"
"Army Active","","81.176","","","","81.176","","91.451","","98.308","","65.158","","50.7","","53.535","53.117","","","d177490ba310c0f61b7aac5efeb95e9bad93a566-0-5839843d7c95d53cb8150990b0ce56072a9da07e","d177490ba310c0f61b7aac5efeb95e9bad93a566","root","d177490ba310c0f61b7aac5efeb95e9bad93a566-13e75ced10d14551af9fd0d46aeac276318b38c8"
"Army National Guard","","3.391","","","","3.391","","3.955","","4.327","","2.186","","2.182","","3.807","3.676","","","d177490ba310c0f61b7aac5efeb95e9bad93a566-1-f0bcecd4dfb8a675574f762cb14607c657db4a65","d177490ba310c0f61b7aac5efeb95e9bad93a566","root","d177490ba310c0f61b7aac5efeb95e9bad93a566-13e75ced10d14551af9fd0d46aeac276318b38c8"
"Army Reserve","","2.713","","","","2.713","","2.185","","2.884","","2.769","","4.928","","7.705","9","","","d177490ba310c0f61b7aac5efeb95e9bad93a566-2-3f21c37aaeb8f231590f531517abd4926cc83b4c","d177490ba310c0f61b7aac5efeb95e9bad93a566","root","d177490ba310c0f61b7aac5efeb95e9bad93a566-13e75ced10d14551af9fd0d46aeac276318b38c8"
"Army Active","95","0.516","","","95","0.516","495","2.875","464","2.878","2152","12.877","2238","18.758","1437","17.858","18.229","395","","d182c1da3273d56f90e0aefc6cf70ccff2a1cbc1-0-6be78351f2f8864d9277e94465e44805b6a8f4e0","d182c1da3273d56f90e0aefc6cf70ccff2a1cbc1","root","d182c1da3273d56f90e0aefc6cf70ccff2a1cbc1-82db24d4a7a44c93132bde71463ff0145ec21603"
"Army Active","1608","218.679","186","20.553","1794","239.232","2592","264.548","3204","333.167","1812","237.684","1806","252.057","2028","277.66","362.965","2862","","d2a6148ef94d2d5ab57e58ab91942c8d75e39b1b-0-2dd9fb4834c82e234ef94742cbb302f1533752b2","d2a6148ef94d2d5ab57e58ab91942c8d75e39b1b","root","d2a6148ef94d2d5ab57e58ab91942c8d75e39b1b-0d3c73c41734bbfed4d6474b14ba8db319c9b716"
"Army Active","98","13.037","","","98","13.037","","","394","54.19","144","16.833","349","35.503","342","35.183","36.238","351","","d2e12cbf893204c2e99e204f546fc17479c363dc-0-536a122cb21cba7869efef13ac45268630a11899","d2e12cbf893204c2e99e204f546fc17479c363dc","root","d2e12cbf893204c2e99e204f546fc17479c363dc-fec01099a3a2b3d3381ca52b20d7702ac507e73c"
"Army National Guard","91","10.633","","","91","10.633","","","","","223","24.134","55","10.829","54","10.872","10.476","52","","d2e12cbf893204c2e99e204f546fc17479c363dc-1-2d7ba046cdeb72d10c88c092d0b9b50dbafb46c1","d2e12cbf893204c2e99e204f546fc17479c363dc","root","d2e12cbf893204c2e99e204f546fc17479c363dc-fec01099a3a2b3d3381ca52b20d7702ac507e73c"
"Army Reserve","77","7.903","","","77","7.903","","","","","85","10.182","20","3.728","20","4.094","4.453","23","","d2e12cbf893204c2e99e204f546fc17479c363dc-2-7587e85750ad1f621de16425b1b02259999766c2","d2e12cbf893204c2e99e204f546fc17479c363dc","root","d2e12cbf893204c2e99e204f546fc17479c363dc-fec01099a3a2b3d3381ca52b20d7702ac507e73c"
"Army Active","","14.377","","","","14.377","","15.205","","27.324","","","","","","","","","","d32d6989a8e2aa071e400f2d4494d39e4297c917-0-ce380e84d11e6b114afc4c80d7742e8e35ee036a","d32d6989a8e2aa071e400f2d4494d39e4297c917","root","d32d6989a8e2aa071e400f2d4494d39e4297c917-32c7387029a5b74dbc892565b409f34557b5c1bc"
"Army Active","182","13.725","","","182","13.725","","","","","184","13.59","","13.597","","13.907","14.547","","","d358730f624774a3d7592194bbe3edd4e75d5276-0-f67906b921cf4310273cfe6b100d408373f7c864","d358730f624774a3d7592194bbe3edd4e75d5276","root","d358730f624774a3d7592194bbe3edd4e75d5276-f48f6c1065ac534af6f4fa5a45e834922445cf6d"
