"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","0","0.156","0.263","0.263","","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-2-b1159c676776ec74e97e528c2cf7675b689daf01","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-8-61b7848e3c570abc036e5e11129aa01f84086285"
"Air Force Active","0.55","0.67","0.665","0.665","1.227","1.639","0.1","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-b16db4b630e18226ba0bb58c2bb663a1d5e9226e","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-9-a5643045b049b9c46fd714678b7a70344e928dae"
"Air National Guard","","","0.07","0.07","0.326","0.23","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-1-5753ad9551aa8d1bf4512889aa42ad31762bb854","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-9-a5643045b049b9c46fd714678b7a70344e928dae"
"Air Force Reserve","","","0.173","0.173","0.291","0.077","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-2-3c1a1e47244b1f47582135d5c8a655b4b8d3d0fa","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-9-a5643045b049b9c46fd714678b7a70344e928dae"
"Air Force Active","5.357","2.381","0.952","0.952","1.795","3.416","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-acfbe3ac3ac59d6d87b7dbb53bdbaf952c53e45f","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-10-5486a57132d53248e841b2ccefc4bcbb757d8840"
"Air National Guard","1.104","","","","","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-1-5f61e8069833190e0c12d6858bfb928d47082f1c","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-10-5486a57132d53248e841b2ccefc4bcbb757d8840"
"Air Force Reserve","0.974","","","","","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-2-a8d21687ea1568a66883b232f0f01d1a921bda3c","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-10-5486a57132d53248e841b2ccefc4bcbb757d8840"
"Air Force Active","0.704","3.759","0.715","0.715","0.806","0.814","0.32","0.38","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-dcda7346d1224ba966c5ba7f7da175b953163769","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-11-63950c7ebb32934945889d7b0e058871bd9fd305"
"Air National Guard","","","","","0.034","0.051","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-1-57b0b3da890f612c8ab1b1294257eb92a246f37a","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-11-63950c7ebb32934945889d7b0e058871bd9fd305"
"Air Force Reserve","","","0.043","0.043","0.068","0.017","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-2-539b49d1e61ace1bf1e85f51d00afdaf67ae9c2a","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-11-63950c7ebb32934945889d7b0e058871bd9fd305"
"Air Force Active","0.02","0.02","","","","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-01dd775371ff5b0863f0015b9d45c6a85bb28939","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-12-4ac1996979c908164a3eae214d98adef4f21477c"
"Air Force Active","0.02","0.01","","","","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-65b9dfe5d6f3e72ea9b1f7b986a296d1d879950d","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-13-ff0b16f0006054aa07ccaac8980a8effb197f039"
"Air Force Active","0.97","0.409","0.372","0.372","0.434","1.687","1.223","1.681","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-7c48e29bd58405c0e7170ffb1e1cb8e5792e1dc0","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-15-4e158c3fcd0f7016fd57ecd79d9e9673cf76b569"
"Army Active","0.335","3.408","","","","","","","","","","","","","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-ac23f08d2902dcc1180cb97f1120e18e22c183eb","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-a7dee7e33d5a11e858677e30bb5048535b43036e"
"Army Active","0.839","","","","","","","","","","","","","","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-306e7f6f4811e09701ab55a0e635913a592184f5","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-907536ddb336fdfe996dd48ccf1afe651de852b6"
"Army Active","","","1.138","1.138","","","","","","","","","153","153","","","","","be525f4eb5ab7c746918b0f01eba62fd3f487e11-0-4d2798e753c14e5f9f1ca3b910d1b0179b20375e","be525f4eb5ab7c746918b0f01eba62fd3f487e11","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","be525f4eb5ab7c746918b0f01eba62fd3f487e11-0-5b9ff09277df025d9ce0d48894f77f552a9c9b11"
"Air Force Active","1.886","0.089","0.081","0.081","0.069","","","","","","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-0-af207dd3d9f49840025e0b825ebf323a9eca4d08","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d09e7b34c05305b2386b886f8ccf1ea0195f2749-0-9ff2502b1df94518dc890e69d971a964353a9f9e"
"Air National Guard","0.726","1.29","4.24","4.24","1.41","","","","","","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-1-2c2b13ebe60c7722e43f85738a57a3d93d52970c","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d09e7b34c05305b2386b886f8ccf1ea0195f2749-0-9ff2502b1df94518dc890e69d971a964353a9f9e"
"Air Force Active","12.701","3.671","1.767","1.767","0.329","0.333","","","","","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-0-77d19726bb4e86eb60b7985693cc2c26b6e11983","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d09e7b34c05305b2386b886f8ccf1ea0195f2749-1-1ace567222d134ce586ea27f5dbf4d6cc400231e"
"Air National Guard","","","1.25","1.25","1.16","0.106","","","","","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-1-a3b7884254bfee133f930040080720edf5481f6f","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d09e7b34c05305b2386b886f8ccf1ea0195f2749-1-1ace567222d134ce586ea27f5dbf4d6cc400231e"
"Air Force Active","0","0","0","0","0","","","","","","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-0-e7fe6cf5b6b498981b31e2b1e26b3d7209c597db","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d09e7b34c05305b2386b886f8ccf1ea0195f2749-2-7b010d29e8fc4c8abe28d5cfb97b79c09c3ffe19"
"Air Force Active","32.6","9.844","4.015","4.015","9.958","8.143","4.229","4.35","","","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-0-f5d791fca55b7dae83682b44157887a0d8d07ee6","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d09e7b34c05305b2386b886f8ccf1ea0195f2749-3-0c30d6b91e3fe043b2b06875ef0760835cf698ef"
"Air Force Active","","","","","","","4.764","3.659","","","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-0-037de6847cb1c3ccf3b33c01b1a9dd6eb95335ba","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d09e7b34c05305b2386b886f8ccf1ea0195f2749-4-d6bd5516946355885de14c74adedc3a88a86f6d3"
"Air National Guard","","","","","","","1.63","1.246","","","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-1-bd24559b7ee915bf1a458b88e3c85f49d9964bb9","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d09e7b34c05305b2386b886f8ccf1ea0195f2749-4-d6bd5516946355885de14c74adedc3a88a86f6d3"
"Air Force Active","","","","","","","55.865","123.173","","","","","","","","","","","d09e7b34c05305b2386b886f8ccf1ea0195f2749-0-a4eb7ffc4df1d6a4893efca91824c9a5c9143196","d09e7b34c05305b2386b886f8ccf1ea0195f2749","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d09e7b34c05305b2386b886f8ccf1ea0195f2749-5-d49900f3c82852ebfb48817cc5d60a00fbb03cd0"
"Air Force Active","2.277","2.141","0","0","","","","","0","254","221","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-fb039ed9ed249a4d8b3e9f69df9cd3d9490041fa","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-4e49cc6446b4d2eb71d631efbdc89c7bb77febfb"
"Air National Guard","0","0","0","0","","","","","0","","","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-1-bbc4fe71fbc85e334f6d90b5aac4c943d63032b4","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-4e49cc6446b4d2eb71d631efbdc89c7bb77febfb"
"Air Force Reserve","0","0","0","0","","","","","0","","","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-2-dd232b8454f03e350656a6b350067bb14ec5a4f3","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-4e49cc6446b4d2eb71d631efbdc89c7bb77febfb"
"Air Force Active","2.104","1.973","","","","","","","","46","43","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-bafd2c63fef623550f4a2d2d2f9f50f0a0e7b612","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d17a56e6be017a4c8dcaaee2149f7f252b49f321-1-255956df817757ded8d29917957cf8d9c06f2ddc"
"Air National Guard","0","0","0","0","","","","","0","","","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-1-a497d299c4e283914443b291d420b12472619fd2","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d17a56e6be017a4c8dcaaee2149f7f252b49f321-1-255956df817757ded8d29917957cf8d9c06f2ddc"
"Air Force Reserve","0","0","0","0","","","","","0","","","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-2-331d64e592df9bcec766e1ebf6e61cba76472bce","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d17a56e6be017a4c8dcaaee2149f7f252b49f321-1-255956df817757ded8d29917957cf8d9c06f2ddc"
"Air Force Active","0","0","3.628","3.628","","","","","0","","","","1","1","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-c6e35cfc0cbd447283d20726cc1cbb2dc7cc384e","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d17a56e6be017a4c8dcaaee2149f7f252b49f321-2-308c960aa6b201651a1cbeb7e1fc779f284dda1d"
"Air Force Active","10.518","0","0.22","0.22","","","","","0","47","","","1","1","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-4039e3730233b0301510e5ff3fd4b15c3a957e31","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-5693ce7e3d5002170c4a1570aa3bbafd3b41d958"
"Air Force Active","0.006","","0.002","0.002","","","","","","","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-f647eb935ed49ce5d104f52884a707abe670ec39","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-a33ee91942014cc8e354c304fea0432add5c8178"
"Air Force Active","1.314","3.871","5.135","5.135","","","","","0","3","7","","10","10","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-5d31184a1d17a438cc00e342a84ebac6f985fac7","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-a739cae1845cdab35f934e74dcc3d1adee38c899"
"Air National Guard","","0.528","0.509","0.509","","","","","","","1","","1","1","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-333989476a546ccf886ed2050f2c47a22687b3d6","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-a739cae1845cdab35f934e74dcc3d1adee38c899"
"Air Force Active","6.135","","","","","","","","","126","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-2aa27b4b49c10a4acbc916390e11fd2444f918d3","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-39df63defb3476102ff88ad69dc3460f8c356bd0"
"Air National Guard","1.26","","","","","","","","","25","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-9ca559d2ec59876c89b8d950b1eefff2ffab070d","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-39df63defb3476102ff88ad69dc3460f8c356bd0"
"Air Force Reserve","0.391","","","","","","","","","8","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-2-0bf803230d694ea57e444048fc0493d3942c1c1c","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-39df63defb3476102ff88ad69dc3460f8c356bd0"
"Air Force Active","0.05","0.05","0.05","0.05","","","","","","","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-79a18e9e38a47cc6e145e762659b7787c59304a0","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-2-5dc223b36309f6f796f39c2a2b7f47dd9958f459"
"Air Force Active","0.75","","0.09","0.09","","","","","","35","","","21","21","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-791cc8698e74c742219d7161a6dcef25bb76110e","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-8d325455f1bda6675601164c26bb0609ae40374c"
"Air Force Active","0.24","0.05","1.2","1.2","","","","","","","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-381babdca3b83acc747ace46186e5fa83be2afd0","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-0b0b6e5dd9fa73b2f76b5da0bae20f971c27faee"
"Air Force Active","0.011","","","","","","","","","","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-93e864ba2f4a147240797834ae00b82c3ec2db40","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-2-556e9acdd83face653b44165c8b799090c0f0f36"
"Air Force Active","2.901","0.027","2.355","2.355","","","","","","4","1","","2","2","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-bb9475a2b010306e6edd3b5b18c94ec239feae3d","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-3-d659ae51527e227a30538f3cecbbd7092027436a"
"Air Force Active","","0.04","0.101","0.101","","","","","","","1","","1","1","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-4e70876a132b81495fbd4053c575b4b871446367","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-4-48193f0276b71d4e6131cc97152d197be45fe531"
"Air Force Active","2.523","0.771","0.759","0.759","","","","","","8","6","","3","3","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-12304ea03f21d9ae822e1157cb67325cfaa8e3a9","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-5-f2f6abb4ad0e259051d431f0983a7fa4fddc1694"
"Air National Guard","","0.296","0.094","0.094","","","","","","","1","","1","1","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-f920d2185ca2820d06dc55194bd81d12db30bdb6","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-5-f2f6abb4ad0e259051d431f0983a7fa4fddc1694"
"Air Force Active","0.036","","","","","","","","","","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-5df6502afcc87603557319f3f9b0e11e4b441a62","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-6-60909b82689d2a802a1844351df5707997614d57"
"Air Force Active","","0.022","","","","","","","","","1","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-6f525254d84a0d4f5054da8ca0e4ba515db23516","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-7-a38928c79e8a8d8d4c5e2a9725adb1c82e15aa66"
"Air Force Active","0.07","0.04","0.02","0.02","","","","","0","","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-2ac882537a5cd2198cf043faa41b95d03ab23f6e","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-8-28b4ced01be3ced410439532a31691bfa0801592"
"Air Force Active","0","0.015","0.01","0.01","","","","","0","","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-92c10a3d28ec7ab6ce0c653a45e0702088b1a791","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-d67250568058da23a0cf39fedeb1910aa1956457"
"Air Force Active","3.1","","","","","","","","","15","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-e9345276f2089d8c92d65371125d26807bc5d589","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-9652d2cb0c6d2e7e4c18d95e20bfefa14d1f4e15"
"Air Force Active","1.5","","","","","","","","","15","","","","","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-08c93f1def997a78d0a895dded72fbf801aee560","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-1-e8bafcf1ed2afc91dd881e6e37e9c22ebc01b510"
"Air Force Active","","0.274","4.123","4.123","","","","","","","1","","21","21","","","","","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-0-1ae58c9e15e10e679d50a1e8a1d5450604fec8a2","d91a877abc1cc862b9a8d683a15489bc3fdc68fc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d91a877abc1cc862b9a8d683a15489bc3fdc68fc-2-28a375aaf60774e64388622936e2e58ba7b8be63"
